USPS	GEOID	NAME	LOGRADE	HIGRADE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                        
MN	2725050	Onamia Public School District	PK	12	729806839	238688639	     281.780	      92.158	 46.092267	 -93.758400                                                                                     
MN	2725080	Orono Public School District	PK	12	104070275	23888115	      40.182	       9.223	 44.997309	 -93.610104                                                                                       
MN	2725140	Osakis Public School District	PK	12	369464453	32589716	     142.651	      12.583	 45.885153	 -95.105502                                                                                      
MN	2725200	Osseo Public School District	PK	12	161919995	7553400	      62.518	       2.916	 45.107973	 -93.430411                                                                                        
MN	2728050	Owatonna Public School District	KG	12	599096700	4506628	     231.313	       1.740	 44.044328	 -93.216218                                                                                     
MN	2728080	Park Rapids Public School District	PK	12	1420164414	101572517	     548.329	      39.217	 47.023065	 -95.136252                                                                               
MN	2728110	Parkers Prairie Public School District	PK	12	492918528	22140010	     190.317	       8.548	 46.139927	 -95.356331                                                                             
MN	2728140	Paynesville Public School District	PK	12	420811776	19501365	     162.476	       7.530	 45.401845	 -94.732490                                                                                 
MN	2728170	Pelican Rapids Public School District	PK	12	736190223	117948078	     284.245	      45.540	 46.579335	 -96.061020                                                                             
MN	2728200	Pequot Lakes Public Schools	PK	12	311770017	89359585	     120.375	      34.502	 46.626318	 -94.223929                                                                                        
MN	2728230	Perham-Dent Public School District	KG	12	712699476	191631410	     275.175	      73.989	 46.574619	 -95.647679                                                                                
MN	2728290	Rushford-Peterson Public Schools	KG	12	465527933	1583206	     179.741	       0.611	 43.786359	 -91.795363                                                                                    
MN	2728320	Pierz Public School District	PK	12	610444750	4789278	     235.694	       1.849	 45.994279	 -94.054863                                                                                        
